GeoAreaName,Sex,TimePeriod_base,Value_base,TimePeriod_recent,Value_recent,PercentagePointChange
Algeria,BOTHSEX,2003,8.9441,2023,68.0336,59.0895
Algeria,FEMALE,2003,8.95593,2023,69.54814,60.59221
Algeria,MALE,2003,8.93296,2023,66.57888,57.64592
Eritrea,FEMALE,2000,15.12305,2019,26.929,11.80595
Eritrea,MALE,2000,16.07778,2019,28.062,11.98422
Eritrea,BOTHSEX,2000,15.60178,2019,27.501,11.89922
Djibouti,MALE,2000,2.69076,2022,15.47567,12.78491
Djibouti,FEMALE,2000,2.27889,2022,14.71796,12.43907
Djibouti,BOTHSEX,2000,2.48709,2022,15.10157,12.61448
Palestine,MALE,2000,57.91129,2022,64.01022,6.09893
Palestine,BOTHSEX,2000,57.01897,2022,66.01843,8.99946
Palestine,FEMALE,2000,56.08749,2022,68.12393,12.03644
Iran,BOTHSEX,2003,33.80349,2019,60.22163,26.41814
Iran,FEMALE,2003,35.60842,2019,60.52325,24.91483
Iran,MALE,2003,32.06345,2019,59.93515,27.8717
Iraq,MALE,2000,5.11529,2007,17.76066,12.64537
Iraq,FEMALE,2000,5.04509,2007,16.56508,11.51999
Iraq,BOTHSEX,2000,5.08098,2007,17.17751,12.09653
Jordan,BOTHSEX,2000,55.57005,2022,51.44856,-4.12149
Jordan,FEMALE,2000,53.6473,2022,52.13794,-1.50936
Jordan,MALE,2000,57.41335,2022,50.79001,-6.62334
Kuwait,FEMALE,2000,84.44482,2021,46.5065,-37.93832
Kuwait,BOTHSEX,2000,83.00938,2021,43.50749,-39.50189
Kuwait,MALE,2000,81.65487,2021,40.93103,-40.72384
Lebanon,MALE,2000,73.73384,2022,74.01974,0.2859
Lebanon,FEMALE,2000,73.34594,2022,75.01959,1.67365
Lebanon,BOTHSEX,2000,73.54403,2022,74.50641,0.96238
Morocco,BOTHSEX,2000,63.06178,2022,78.84543,15.78365
Morocco,FEMALE,2000,46.48366,2022,79.36196,32.8783
Morocco,MALE,2000,78.97617,2022,78.35446,-0.62171
Oman,FEMALE,2009,58.07017,2022,73.3672,15.29703
Oman,BOTHSEX,2009,58.55009,2022,72.63434,14.08425
Oman,MALE,2009,59.01081,2022,71.93237,12.92156
Pakistan,MALE,2014,100,2021,9.839,-90.161
Pakistan,FEMALE,2014,87.19375,2021,11.57,-75.62375
Pakistan,BOTHSEX,2014,93.77268,2021,10.685,-83.08768
Qatar,BOTHSEX,2000,45.16006,2019,86.047,40.88694
Qatar,FEMALE,2000,41.69778,2019,85.95024,44.25246
Qatar,MALE,2000,48.41872,2019,86.14037,37.72165
Saudi Arabia,MALE,2015,35.14489,2022,53.78124,18.63635
Saudi Arabia,FEMALE,2015,38.47303,2022,56.09917,17.62614
Saudi Arabia,BOTHSEX,2015,36.74563,2022,54.91977,18.17414
Sudan,BOTHSEX,2018,38.62994,2018,38.62994,0
Sudan,FEMALE,2018,38.73645,2018,38.73645,0
Sudan,MALE,2018,38.52637,2018,38.52637,0
Syria,FEMALE,2000,47.72301,2023,47.12764,-0.59537
Syria,MALE,2000,51.31378,2023,46.65344,-4.66034
Syria,BOTHSEX,2000,49.55927,2023,46.88525,-2.67402
United Arab Emirates,BOTHSEX,2000,84.17943,2019,99.09854,14.91911
United Arab Emirates,FEMALE,2000,85.10408,2019,100,14.89592
United Arab Emirates,MALE,2000,83.33058,2019,98.23666,14.90608
Tunisia,FEMALE,2000,31.30337,2002,40.78355,9.48018
Tunisia,MALE,2000,30.7792,2002,40.76441,9.98521
Tunisia,BOTHSEX,2000,31.03294,2002,40.77367,9.74073
Egypt,BOTHSEX,2000,14.34864,2021,32.53777,18.18913
Egypt,MALE,2000,14.70129,2021,32.70693,18.00564
Egypt,FEMALE,2000,13.97251,2021,32.36072,18.38821
Yemen,BOTHSEX,2003,3.81902,2016,3.69441,-0.12461
Yemen,MALE,2003,3.91106,2016,3.86085,-0.05021
Yemen,FEMALE,2003,3.72246,2016,3.51968,-0.20278
Worldwide,BOTHSEX,,,,71.68388057,
Worldwide,FEMALE,,,,71.42891295,
Worldwide,MALE,,,,71.02204758,
