Sex,Education level,Type of skill,Value_recent
BOTHSEX,GRAD23,SKILL_MATH,58.78846475
BOTHSEX,GRAD23,SKILL_READ,54.610125365853655
BOTHSEX,LOWSEC,SKILL_MATH,49.24690617647059
BOTHSEX,LOWSEC,SKILL_READ,55.79593361702128
BOTHSEX,PRIMAR,SKILL_MATH,41.76559756756756
BOTHSEX,PRIMAR,SKILL_READ,60.51868564814814
FEMALE,GRAD23,SKILL_MATH,57.012982820512825
FEMALE,GRAD23,SKILL_READ,56.18889575000001
FEMALE,LOWSEC,SKILL_MATH,49.34660153061225
FEMALE,LOWSEC,SKILL_READ,61.10509086956522
FEMALE,PRIMAR,SKILL_MATH,41.523651171171174
FEMALE,PRIMAR,SKILL_READ,62.95127129629629
MALE,GRAD23,SKILL_MATH,58.89549871794872
MALE,GRAD23,SKILL_READ,52.745771749999996
MALE,LOWSEC,SKILL_MATH,49.333584183673466
MALE,LOWSEC,SKILL_READ,51.05993847826087
MALE,PRIMAR,SKILL_MATH,42.30942144144144
MALE,PRIMAR,SKILL_READ,58.21779546296297
